"SubscriptionType","MonthlyRevenue","JoinDate","LastPaymentDate","Country","Age","Gender","Device"
"Standard",10,"12-08-22","28-06-23","Spain",46,"Female","Smart TV"
"Basic",15,"05-08-22","27-06-23","Italy",27,"Female","Smart TV"
"Premium",10,"14-07-22","27-06-23","United States",43,"Female","Laptop"
"Standard",10,"07-06-22","26-06-23","Canada",51,"Male","Smart TV"
"Basic",10,"01-06-22","27-06-23","United Kingdom",49,"Male","Smart TV"
"Standard",10,"19-05-22","28-06-23","Australia",35,"Female","Smartphone"
"Premium",15,"22-05-22","27-06-23","Germany",44,"Male","Smartphone"
"Basic",14,"11-07-22","26-06-23","France",48,"Male","Tablet"
"Premium",11,"19-07-22","28-06-23","Brazil",39,"Female","Tablet"
"Standard",12,"21-07-22","28-06-23","Mexico",38,"Male","Laptop"
"Basic",14,"02-08-22","26-06-23","Spain",45,"Male","Smart TV"
"Standard",13,"03-07-22","28-06-23","Italy",43,"Female","Laptop"
"Premium",13,"23-06-22","27-06-23","United States",42,"Male","Laptop"
"Basic",15,"03-06-22","28-06-23","Canada",28,"Male","Smart TV"
"Standard",10,"03-06-22","26-06-23","United Kingdom",40,"Male","Tablet"
"Premium",14,"30-05-22","27-06-23","Australia",41,"Female","Tablet"
"Basic",12,"05-06-22","26-06-23","Germany",45,"Female","Laptop"
"Premium",14,"10-06-22","27-06-23","France",30,"Female","Smartphone"
"Basic",11,"14-07-22","26-06-23","Brazil",31,"Female","Smartphone"
"Standard",13,"15-07-22","27-06-23","Mexico",51,"Female","Tablet"
"Standard",12,"14-07-22","25-06-23","Spain",44,"Female","Smartphone"
"Basic",14,"13-07-22","27-06-23","Italy",49,"Male","Laptop"
"Premium",12,"17-07-22","26-06-23","United States",47,"Female","Laptop"
"Basic",14,"21-07-22","26-06-23","Canada",42,"Male","Smartphone"
"Standard",13,"23-07-22","28-06-23","United Kingdom",28,"Male","Smartphone"
"Premium",13,"01-08-22","28-06-23","Australia",28,"Male","Smartphone"
"Basic",13,"06-08-22","26-06-23","Germany",49,"Female","Tablet"
"Premium",12,"19-08-22","26-06-23","France",32,"Female","Smartphone"
"Basic",12,"26-08-22","27-06-23","Brazil",37,"Female","Tablet"
"Standard",13,"27-09-22","27-06-23","Mexico",37,"Female","Tablet"
"Standard",14,"15-09-22","25-06-23","Spain",37,"Male","Smartphone"
"Basic",15,"02-09-22","25-06-23","Italy",37,"Male","Smart TV"
"Premium",14,"03-09-22","26-06-23","United States",48,"Female","Tablet"
"Basic",12,"03-09-22","26-06-23","Canada",47,"Male","Laptop"
"Standard",13,"24-08-22","26-06-23","United Kingdom",41,"Female","Smartphone"
"Premium",14,"21-08-22","27-06-23","Australia",47,"Female","Laptop"
"Basic",13,"23-08-22","25-06-23","Germany",39,"Female","Smartphone"
"Premium",10,"02-09-22","26-06-23","France",28,"Male","Tablet"
"Basic",14,"21-09-22","29-06-23","Brazil",31,"Male","Smart TV"
"Standard",14,"21-10-22","27-06-23","Mexico",47,"Female","Smart TV"
"Standard",11,"30-10-22","27-06-23","Spain",27,"Female","Laptop"
"Basic",10,"02-11-22","28-06-23","Italy",28,"Male","Laptop"
"Premium",14,"16-10-22","28-06-23","United States",33,"Male","Tablet"
"Basic",14,"15-09-22","29-06-23","Canada",29,"Female","Tablet"
"Standard",15,"12-09-22","27-06-23","United Kingdom",41,"Male","Smartphone"
"Premium",12,"18-09-22","29-06-23","Australia",28,"Female","Tablet"
"Basic",13,"04-10-22","27-06-23","Germany",38,"Male","Tablet"
"Premium",15,"05-10-22","30-06-23","France",35,"Male","Laptop"
"Basic",11,"06-11-22","26-06-23","Brazil",51,"Male","Smart TV"
"Standard",12,"17-11-22","28-06-23","Mexico",45,"Male","Smartphone"
"Standard",14,"18-11-22","26-06-23","Spain",51,"Male","Laptop"
"Basic",14,"22-11-22","30-06-23","Italy",46,"Female","Smart TV"
"Premium",15,"04-12-22","28-06-23","United States",28,"Male","Smart TV"
"Basic",12,"19-11-22","30-06-23","Canada",46,"Female","Smart TV"
"Standard",11,"06-11-22","25-06-23","United Kingdom",46,"Female","Smartphone"
"Premium",12,"15-10-22","29-06-23","Australia",32,"Female","Laptop"
"Basic",11,"17-10-22","28-06-23","Germany",39,"Female","Smart TV"
"Premium",11,"19-10-22","29-06-23","France",41,"Female","Smartphone"
"Basic",13,"23-10-22","25-06-23","Brazil",47,"Male","Smart TV"
"Standard",12,"24-10-22","28-06-23","Mexico",35,"Male","Smart TV"
"Standard",12,"23-10-22","27-06-23","Spain",37,"Female","Smart TV"
"Basic",11,"10-10-22","29-06-23","Italy",47,"Male","Tablet"
"Premium",13,"05-10-22","28-06-23","United States",48,"Female","Laptop"
"Basic",12,"01-07-22","27-06-23","Canada",30,"Female","Laptop"
"Standard",10,"01-07-22","27-06-23","United Kingdom",36,"Male","Smart TV"
"Premium",10,"25-06-22","28-06-23","Australia",50,"Female","Smartphone"
"Basic",12,"24-06-22","28-06-23","Germany",41,"Male","Tablet"
"Basic",14,"28-06-22","28-06-23","France",46,"Female","Smartphone"
"Basic",15,"11-08-22","28-06-23","Brazil",36,"Female","Laptop"
"Standard",14,"12-08-22","27-06-23","Mexico",48,"Male","Tablet"
"Premium",10,"07-08-22","28-06-23","Spain",37,"Female","Laptop"
"Basic",14,"06-08-22","27-06-23","Italy",49,"Male","Laptop"
"Basic",12,"18-07-22","28-06-23","United States",31,"Female","Laptop"
"Premium",12,"16-06-22","26-06-23","Canada",42,"Female","Laptop"
"Standard",11,"30-05-22","28-06-23","United Kingdom",45,"Female","Tablet"
"Standard",15,"28-05-22","28-06-23","Australia",51,"Female","Tablet"
"Basic",11,"31-05-22","27-06-23","Germany",31,"Female","Smart TV"
"Premium",14,"04-06-22","27-06-23","France",41,"Male","Tablet"
"Standard",14,"29-06-22","28-06-23","Brazil",40,"Male","Smart TV"
"Basic",10,"24-07-22","28-06-23","Mexico",27,"Male","Tablet"
"Standard",10,"19-07-22","27-06-23","Spain",46,"Female","Tablet"
"Premium",10,"30-06-22","28-06-23","Italy",30,"Female","Smart TV"
"Basic",11,"16-06-22","27-06-23","United States",37,"Male","Smart TV"
"Premium",15,"10-06-22","28-06-23","Canada",45,"Male","Smartphone"
"Standard",11,"01-06-22","26-06-23","United Kingdom",40,"Male","Smart TV"
"Basic",13,"03-06-22","28-06-23","Australia",45,"Male","Laptop"
"Standard",11,"05-06-22","26-06-23","Germany",34,"Male","Laptop"
"Premium",10,"07-06-22","27-06-23","France",33,"Male","Laptop"
"Basic",10,"22-06-22","26-06-23","Brazil",47,"Female","Laptop"
"Standard",11,"28-06-22","27-06-23","Mexico",32,"Male","Smart TV"
"Premium",12,"29-06-22","29-06-23","Spain",41,"Female","Tablet"
"Basic",15,"03-07-22","28-06-23","Italy",31,"Female","Tablet"
"Premium",15,"08-07-22","27-06-23","United States",43,"Male","Tablet"
"Basic",10,"13-07-22","27-06-23","Canada",32,"Female","Tablet"
"Standard",10,"27-07-22","28-06-23","United Kingdom",46,"Female","Smartphone"
"Standard",14,"30-07-22","28-06-23","Australia",38,"Male","Smartphone"
"Basic",11,"13-08-22","26-06-23","Germany",31,"Female","Smart TV"
"Premium",14,"18-08-22","26-06-23","France",31,"Female","Laptop"
"Basic",10,"24-08-22","27-06-23","Brazil",50,"Male","Laptop"
"Standard",10,"08-09-22","27-06-23","Mexico",32,"Male","Laptop"
"Premium",13,"04-09-22","27-06-23","Spain",38,"Female","Smartphone"
"Basic",15,"04-09-22","27-06-23","Italy",37,"Female","Laptop"
"Premium",12,"04-09-22","26-06-23","United States",36,"Male","Smart TV"
"Basic",11,"27-08-22","27-06-23","Canada",30,"Male","Smart TV"
"Standard",14,"25-08-22","27-06-23","United Kingdom",28,"Male","Smart TV"
"Standard",13,"25-08-22","28-06-23","Australia",40,"Male","Smartphone"
"Basic",14,"01-09-22","28-06-23","Germany",28,"Female","Tablet"
"Premium",15,"13-09-22","26-06-23","France",37,"Female","Laptop"
"Basic",15,"05-10-22","29-06-23","Brazil",30,"Male","Smart TV"
"Standard",11,"08-10-22","28-06-23","Mexico",33,"Female","Smart TV"
"Premium",11,"26-10-22","28-06-23","Spain",49,"Male","Tablet"
"Basic",12,"18-10-22","29-06-23","Italy",36,"Female","Smart TV"
"Premium",12,"07-10-22","28-06-23","United States",28,"Female","Smartphone"
"Basic",10,"17-09-22","30-06-23","Canada",51,"Male","Tablet"
"Standard",11,"18-09-22","27-06-23","United Kingdom",35,"Female","Smartphone"
"Standard",14,"27-09-22","29-06-23","Australia",31,"Male","Smart TV"
"Basic",13,"30-09-22","27-06-23","Germany",39,"Male","Smartphone"
"Premium",10,"30-10-22","30-06-23","France",51,"Female","Laptop"
"Basic",11,"09-11-22","29-06-23","Brazil",44,"Male","Smartphone"
"Standard",11,"17-11-22","28-06-23","Mexico",41,"Female","Smartphone"
"Premium",10,"18-11-22","26-06-23","Spain",28,"Female","Laptop"
"Basic",15,"22-11-22","30-06-23","Italy",38,"Male","Laptop"
"Premium",14,"22-11-22","28-06-23","Spain",43,"Male","Smartphone"
"Basic",13,"21-11-22","30-06-23","Spain",38,"Male","Smartphone"
"Standard",14,"10-11-22","26-06-23","United States",30,"Male","Tablet"
"Standard",12,"21-10-22","29-06-23","Canada",32,"Female","Laptop"
"Basic",11,"21-10-22","28-06-23","United States",35,"Male","Smartphone"
"Premium",14,"23-10-22","29-06-23","United States",27,"Male","Smart TV"
"Basic",15,"24-10-22","26-06-23","Canada",49,"Female","Tablet"
"Standard",12,"23-10-22","28-06-23","United Kingdom",42,"Female","Tablet"
"Premium",10,"21-10-22","28-06-23","Australia",40,"Male","Smartphone"
"Basic",15,"06-10-22","29-06-23","Germany",43,"Female","Tablet"
"Premium",11,"26-07-22","28-06-23","France",44,"Female","Smart TV"
"Basic",15,"13-07-22","28-06-23","Brazil",32,"Male","Tablet"
"Standard",10,"06-07-22","28-06-23","Mexico",50,"Male","Tablet"
"Standard",14,"07-07-22","28-06-23","Spain",35,"Male","Tablet"
"Basic",15,"01-07-22","29-06-23","Italy",44,"Female","Laptop"
"Premium",14,"31-07-22","28-06-23","Spain",42,"Female","Smart TV"
"Basic",12,"06-08-22","28-06-23","Spain",34,"Female","Smart TV"
"Standard",15,"07-08-22","27-06-23","United States",37,"Female","Tablet"
"Premium",10,"06-08-22","28-06-23","Canada",43,"Male","Smartphone"
"Basic",13,"03-08-22","28-06-23","United States",32,"Male","Smart TV"
"Basic",15,"18-06-22","28-06-23","United States",33,"Female","Smart TV"
"Basic",14,"17-06-22","27-06-23","Canada",32,"Female","Tablet"
"Standard",13,"07-06-22","29-06-23","United Kingdom",41,"Male","Smartphone"
"Premium",15,"06-06-22","28-06-23","Australia",31,"Male","Tablet"
"Basic",14,"04-06-22","27-06-23","Germany",44,"Male","Tablet"
"Basic",11,"20-06-22","28-06-23","France",49,"Male","Laptop"
"Premium",10,"10-07-22","28-06-23","Brazil",48,"Female","Tablet"
"Standard",13,"13-07-22","29-06-23","Mexico",42,"Female","Smartphone"
"Standard",11,"07-07-22","27-06-23","Spain",50,"Female","Laptop"
"Basic",14,"22-06-22","28-06-23","Italy",49,"Female","Smart TV"
"Premium",14,"15-06-22","27-06-23","Spain",30,"Female","Laptop"
"Standard",11,"03-06-22","28-06-23","Spain",38,"Male","Laptop"
"Basic",14,"04-06-22","27-06-23","United States",38,"Male","Smartphone"
"Standard",11,"05-06-22","28-06-23","Canada",39,"Female","Smart TV"
"Premium",15,"07-06-22","29-06-23","United States",42,"Female","Laptop"
"Basic",10,"14-06-22","29-06-23","United States",28,"Male","Smart TV"
"Premium",10,"17-06-22","27-06-23","Canada",38,"Male","Smartphone"
"Standard",14,"19-06-22","28-06-23","United Kingdom",40,"Female","Tablet"
"Basic",12,"02-07-22","29-06-23","Australia",30,"Female","Tablet"
"Standard",10,"03-07-22","29-06-23","Germany",40,"Male","Smartphone"
"Premium",10,"13-07-22","27-06-23","France",31,"Male","Smart TV"
"Basic",14,"26-07-22","27-06-23","Brazil",41,"Male","Smartphone"
"Standard",11,"27-07-22","28-06-23","Mexico",37,"Male","Smartphone"
"Premium",14,"08-08-22","28-06-23","Spain",49,"Male","Tablet"
"Basic",14,"17-08-22","27-06-23","Italy",29,"Male","Smart TV"
"Premium",10,"20-08-22","26-06-23","Spain",31,"Male","Smart TV"
"Basic",10,"05-09-22","27-06-23","Spain",39,"Male","Tablet"
"Standard",12,"05-09-22","27-06-23","United States",51,"Female","Smartphone"
"Standard",10,"05-09-22","27-06-23","Canada",38,"Female","Smartphone"
"Basic",11,"06-09-22","27-06-23","United States",29,"Female","Tablet"
"Premium",13,"03-09-22","28-06-23","United States",41,"Female","Laptop"
"Basic",13,"29-08-22","27-06-23","Canada",48,"Female","Tablet"
"Standard",14,"27-08-22","28-06-23","United Kingdom",39,"Male","Smart TV"
"Premium",12,"29-08-22","29-06-23","Australia",37,"Male","Smartphone"
"Basic",11,"13-09-22","28-06-23","Germany",37,"Female","Smartphone"
"Premium",14,"24-09-22","27-06-23","France",34,"Male","Smartphone"
"Basic",15,"05-10-22","29-06-23","Brazil",37,"Male","Smartphone"
"Standard",14,"18-10-22","30-06-23","Mexico",37,"Female","Smart TV"
"Standard",13,"19-10-22","28-06-23","Spain",51,"Female","Tablet"
"Basic",15,"14-10-22","29-06-23","Italy",45,"Male","Laptop"
"Premium",14,"30-09-22","28-06-23","Spain",29,"Female","Laptop"
"Basic",14,"19-09-22","30-06-23","Spain",37,"Male","Laptop"
"Standard",10,"24-09-22","29-06-23","United States",34,"Male","Tablet"
"Premium",14,"28-09-22","29-06-23","Canada",35,"Male","Smartphone"
"Basic",12,"29-09-22","27-06-23","United States",29,"Male","Laptop"
"Premium",11,"11-10-22","01-07-23","United States",45,"Male","Tablet"
"Basic",14,"08-11-22","29-06-23","Canada",36,"Male","Smart TV"
"Standard",11,"16-11-22","28-06-23","United Kingdom",27,"Female","Laptop"
"Standard",10,"17-11-22","26-06-23","Australia",31,"Female","Laptop"
"Basic",10,"20-11-22","30-06-23","Germany",41,"Female","Laptop"
"Premium",13,"21-11-22","29-06-23","France",37,"Male","Smart TV"
"Basic",12,"21-11-22","30-06-23","Brazil",49,"Female","Tablet"
"Standard",12,"18-11-22","27-06-23","Mexico",37,"Female","Smart TV"
"Premium",14,"26-10-22","29-06-23","Spain",36,"Female","Smartphone"
"Basic",13,"25-10-22","28-06-23","Italy",38,"Female","Smart TV"
"Premium",15,"26-10-22","30-06-23","Spain",49,"Female","Tablet"
"Basic",15,"23-10-22","26-06-23","Spain",31,"Male","Laptop"
"Standard",13,"23-10-22","28-06-23","United States",29,"Female","Laptop"
"Standard",12,"16-10-22","28-06-23","Canada",35,"Female","Tablet"
"Basic",14,"09-08-22","29-06-23","United States",46,"Female","Tablet"
"Premium",10,"02-08-22","29-06-23","United States",29,"Female","Laptop"
"Basic",12,"16-07-22","28-06-23","Canada",43,"Female","Laptop"
"Standard",15,"17-07-22","28-06-23","United Kingdom",38,"Female","Tablet"
"Premium",14,"14-07-22","28-06-23","Australia",48,"Female","Smart TV"
"Basic",14,"16-07-22","29-06-23","Germany",41,"Male","Laptop"
"Premium",15,"06-08-22","29-06-23","France",51,"Female","Laptop"
"Basic",14,"07-08-22","28-06-23","Brazil",39,"Male","Smart TV"
"Standard",11,"07-08-22","27-06-23","Mexico",31,"Male","Smartphone"
"Standard",15,"04-08-22","29-06-23","Spain",28,"Male","Laptop"
"Basic",15,"29-07-22","29-06-23","Italy",47,"Male","Laptop"
"Premium",14,"19-06-22","28-06-23","Spain",35,"Female","Smart TV"
"Basic",15,"09-06-22","29-06-23","Spain",33,"Male","Smartphone"
"Standard",11,"06-06-22","29-06-23","United States",41,"Male","Smartphone"
"Premium",12,"06-06-22","30-06-23","Canada",38,"Female","Smart TV"
"Basic",10,"11-06-22","28-06-23","United States",49,"Male","Laptop"
"Basic",14,"18-06-22","28-06-23","United States",29,"Female","Smart TV"
"Basic",13,"27-06-22","28-06-23","Canada",50,"Male","Laptop"
"Standard",12,"05-07-22","29-06-23","United Kingdom",29,"Female","Tablet"
"Premium",15,"06-07-22","27-06-23","Australia",44,"Male","Smart TV"
"Basic",14,"16-06-22","29-06-23","Germany",36,"Female","Smart TV"
"Basic",14,"05-06-22","30-06-23","France",46,"Female","Smart TV"
"Premium",14,"05-06-22","29-06-23","Brazil",30,"Male","Smartphone"
"Standard",15,"06-06-22","27-06-23","Mexico",46,"Female","Tablet"
"Standard",15,"07-06-22","28-06-23","Spain",33,"Male","Smartphone"
"Basic",15,"10-06-22","29-06-23","Italy",46,"Female","Tablet"
"Premium",14,"13-06-22","29-06-23","Spain",50,"Male","Tablet"
"Standard",14,"14-06-22","27-06-23","Spain",27,"Female","Smart TV"
"Basic",12,"22-06-22","28-06-23","United States",48,"Female","Smart TV"
"Standard",14,"03-07-22","29-06-23","Canada",50,"Female","Smartphone"
"Premium",13,"05-07-22","29-06-23","United States",28,"Female","Tablet"
"Basic",15,"11-07-22","28-06-23","United States",29,"Female","Smartphone"
"Premium",11,"17-07-22","27-06-23","Canada",36,"Male","Smart TV"
"Standard",12,"27-07-22","28-06-23","United Kingdom",51,"Male","Laptop"
"Basic",15,"14-08-22","28-06-23","Australia",51,"Male","Smartphone"
"Standard",13,"15-08-22","27-06-23","Germany",43,"Male","Smart TV"
"Premium",14,"02-09-22","27-06-23","France",38,"Female","Laptop"
"Basic",11,"05-09-22","28-06-23","Brazil",45,"Female","Smartphone"
"Standard",10,"06-09-22","28-06-23","Mexico",28,"Female","Smart TV"
"Premium",11,"06-09-22","29-06-23","Spain",27,"Male","Smartphone"
"Basic",11,"05-09-22","27-06-23","Italy",41,"Female","Smartphone"
"Premium",14,"06-09-22","29-06-23","Spain",49,"Male","Smart TV"
"Basic",12,"29-08-22","28-06-23","Spain",35,"Male","Smartphone"
"Standard",13,"30-08-22","28-06-23","United States",29,"Female","Smart TV"
"Standard",10,"02-09-22","30-06-23","Canada",42,"Male","Smartphone"
"Basic",15,"20-09-22","28-06-23","United States",33,"Male","Tablet"
"Premium",10,"23-09-22","30-06-23","United States",30,"Male","Laptop"
"Basic",11,"29-09-22","29-06-23","Canada",43,"Female","Smart TV"
"Standard",10,"09-10-22","01-07-23","United Kingdom",42,"Male","Smartphone"
"Premium",11,"12-10-22","29-06-23","Australia",39,"Male","Tablet"
"Basic",15,"06-10-22","30-06-23","Germany",32,"Female","Smart TV"
"Premium",14,"21-09-22","28-06-23","France",31,"Male","Smartphone"
"Basic",13,"23-09-22","01-07-23","Brazil",39,"Male","Smartphone"
"Standard",12,"28-09-22","29-06-23","Mexico",41,"Female","Smartphone"
"Standard",12,"29-09-22","29-06-23","Spain",51,"Female","Smart TV"
"Basic",13,"03-10-22","27-06-23","Italy",29,"Male","Laptop"
"Premium",10,"28-10-22","01-07-23","Spain",33,"Female","Smart TV"
"Basic",12,"14-11-22","29-06-23","Spain",51,"Female","Tablet"
"Standard",11,"16-11-22","01-07-23","United States",38,"Male","Tablet"
"Premium",10,"17-11-22","28-06-23","Canada",37,"Female","Laptop"
"Basic",13,"20-11-22","30-06-23","United States",50,"Female","Laptop"
"Premium",12,"21-11-22","29-06-23","United States",33,"Male","Tablet"
"Basic",11,"19-11-22","01-07-23","Canada",27,"Male","Laptop"
"Standard",11,"28-10-22","27-06-23","United Kingdom",50,"Female","Smartphone"
"Standard",15,"27-10-22","29-06-23","Australia",47,"Female","Laptop"
"Basic",13,"27-10-22","29-06-23","Germany",41,"Male","Laptop"
"Premium",10,"27-10-22","30-06-23","France",49,"Female","Laptop"
"Basic",15,"25-10-22","28-06-23","Brazil",32,"Male","Smart TV"
"Standard",10,"17-10-22","28-06-23","Mexico",38,"Female","Smartphone"
"Premium",14,"20-08-22","29-06-23","Spain",38,"Female","Smartphone"
"Basic",15,"16-08-22","29-06-23","Italy",28,"Female","Smart TV"
"Premium",13,"15-08-22","29-06-23","Spain",31,"Male","Tablet"
"Basic",14,"15-08-22","29-06-23","Spain",39,"Female","Smartphone"
"Standard",11,"29-07-22","29-06-23","United States",28,"Female","Smartphone"
"Standard",12,"17-07-22","28-06-23","Canada",30,"Female","Smartphone"
"Basic",11,"26-07-22","29-06-23","United States",42,"Male","Tablet"
"Premium",14,"31-07-22","29-06-23","United States",33,"Female","Laptop"
"Basic",14,"03-08-22","29-06-23","Canada",34,"Female","Smart TV"
"Standard",13,"04-08-22","29-06-23","United Kingdom",49,"Female","Smart TV"
"Premium",13,"03-08-22","29-06-23","Australia",41,"Male","Laptop"
"Basic",12,"27-06-22","29-06-23","Germany",28,"Male","Smart TV"
"Premium",14,"27-06-22","28-06-23","France",49,"Female","Laptop"
"Basic",15,"15-06-22","29-06-23","Brazil",49,"Male","Tablet"
"Standard",11,"13-06-22","29-06-23","Mexico",36,"Male","Tablet"
"Standard",11,"12-06-22","30-06-23","Spain",31,"Male","Smart TV"
"Basic",10,"18-06-22","28-06-23","Italy",38,"Male","Smartphone"
"Premium",15,"26-06-22","29-06-23","Spain",34,"Female","Tablet"
"Basic",11,"30-06-22","30-06-23","Spain",51,"Female","Smartphone"
"Standard",13,"03-07-22","30-06-23","United States",49,"Male","Smart TV"
"Premium",13,"19-06-22","28-06-23","Canada",27,"Female","Tablet"
"Basic",10,"08-06-22","29-06-23","United States",38,"Male","Smart TV"
"Basic",10,"08-06-22","30-06-23","United States",51,"Male","Tablet"
"Basic",14,"09-06-22","30-06-23","Canada",47,"Female","Tablet"
"Standard",15,"09-06-22","27-06-23","United Kingdom",37,"Male","Smartphone"
"Premium",13,"10-06-22","28-06-23","Australia",37,"Female","Laptop"
"Basic",11,"11-06-22","29-06-23","Germany",39,"Female","Tablet"
"Basic",11,"13-06-22","29-06-23","France",31,"Male","Smartphone"
"Premium",13,"17-06-22","28-06-23","Brazil",36,"Male","Smart TV"
"Standard",15,"27-06-22","28-06-23","Mexico",42,"Female","Smart TV"
"Standard",11,"05-07-22","29-06-23","Spain",49,"Male","Laptop"
"Basic",15,"07-07-22","29-06-23","Italy",44,"Female","Laptop"
"Premium",11,"16-07-22","28-06-23","Spain",33,"Male","Laptop"
"Standard",11,"23-07-22","27-06-23","Spain",42,"Male","Tablet"
"Basic",13,"03-08-22","29-06-23","United States",39,"Male","Smartphone"
"Standard",10,"11-08-22","29-06-23","Canada",49,"Male","Smartphone"
"Premium",12,"15-08-22","30-06-23","United States",31,"Male","Smartphone"
"Basic",14,"18-08-22","28-06-23","United States",37,"Male","Tablet"
"Premium",13,"26-08-22","29-06-23","Canada",30,"Female","Tablet"
"Standard",10,"03-09-22","28-06-23","United Kingdom",42,"Male","Smartphone"
"Basic",15,"04-09-22","29-06-23","Australia",37,"Female","Smart TV"
"Standard",15,"05-09-22","30-06-23","Germany",36,"Male","Laptop"
"Premium",11,"01-09-22","29-06-23","France",28,"Female","Laptop"
"Basic",15,"31-08-22","30-06-23","Brazil",36,"Male","Tablet"
"Standard",14,"01-09-22","29-06-23","Mexico",31,"Female","Tablet"
"Premium",14,"17-09-22","01-07-23","Spain",46,"Male","Smart TV"
"Basic",13,"21-09-22","28-06-23","Italy",28,"Male","Laptop"
"Premium",15,"29-09-22","01-07-23","Spain",31,"Male","Tablet"
"Basic",12,"06-10-22","29-06-23","Spain",43,"Male","Smart TV"
"Standard",10,"12-10-22","02-07-23","United States",28,"Male","Laptop"
"Standard",13,"07-10-22","30-06-23","Canada",32,"Female","Smartphone"
"Basic",12,"04-10-22","30-06-23","United States",31,"Female","Laptop"
"Premium",11,"24-09-22","28-06-23","United States",45,"Male","Smart TV"
"Basic",14,"25-09-22","01-07-23","Canada",36,"Male","Smartphone"
"Standard",14,"27-09-22","30-06-23","United Kingdom",35,"Male","Laptop"
"Premium",13,"30-09-22","01-07-23","Australia",27,"Female","Tablet"
"Basic",13,"04-10-22","28-06-23","Germany",32,"Male","Laptop"
"Premium",12,"24-10-22","01-07-23","France",46,"Female","Smartphone"
"Basic",12,"28-10-22","30-06-23","Brazil",36,"Male","Smart TV"
"Standard",13,"02-11-22","01-07-23","Mexico",39,"Male","Laptop"
"Standard",12,"07-11-22","28-06-23","Spain",48,"Female","Smart TV"
"Basic",10,"10-11-22","30-06-23","Italy",48,"Female","Smart TV"
"Premium",14,"15-11-22","29-06-23","Spain",27,"Female","Laptop"
"Basic",13,"08-11-22","01-07-23","Spain",45,"Male","Tablet"
"Standard",10,"01-11-22","27-06-23","United States",30,"Male","Laptop"
"Premium",15,"30-10-22","29-06-23","Canada",29,"Male","Tablet"
"Basic",12,"28-10-22","29-06-23","United States",43,"Female","Laptop"
"Premium",10,"26-10-22","30-06-23","United States",43,"Male","Laptop"
"Basic",15,"18-10-22","29-06-23","Canada",39,"Female","Tablet"
"Standard",14,"30-09-22","30-06-23","United Kingdom",27,"Male","Tablet"
"Standard",10,"03-09-22","29-06-23","Australia",33,"Female","Tablet"
"Basic",10,"23-08-22","29-06-23","Germany",32,"Female","Tablet"
"Premium",10,"16-08-22","29-06-23","France",37,"Female","Tablet"
"Basic",13,"11-08-22","30-06-23","Brazil",45,"Male","Smartphone"
"Standard",10,"01-08-22","30-06-23","Mexico",40,"Female","Smartphone"
"Premium",14,"01-08-22","29-06-23","Spain",44,"Male","Laptop"
"Basic",12,"01-08-22","29-06-23","Italy",29,"Female","Tablet"
"Premium",14,"02-08-22","30-06-23","Spain",50,"Male","Laptop"
"Basic",11,"04-08-22","29-06-23","Spain",32,"Female","Laptop"
"Standard",14,"04-08-22","29-06-23","United States",39,"Male","Laptop"
"Standard",15,"07-07-22","30-06-23","Canada",43,"Female","Smartphone"
"Basic",12,"27-06-22","30-06-23","United States",49,"Female","Smartphone"
"Premium",13,"19-06-22","29-06-23","United States",30,"Male","Tablet"
"Basic",12,"19-06-22","29-06-23","Canada",47,"Male","Tablet"
"Standard",10,"18-06-22","29-06-23","United Kingdom",51,"Female","Laptop"
"Premium",14,"19-06-22","30-06-23","Australia",40,"Male","Tablet"
"Basic",14,"24-06-22","28-06-23","Germany",40,"Male","Laptop"
"Premium",11,"30-06-22","30-06-23","France",49,"Male","Smartphone"
"Basic",15,"02-07-22","30-06-23","Brazil",43,"Female","Tablet"
"Standard",14,"26-06-22","01-07-23","Mexico",44,"Female","Smartphone"
"Standard",13,"21-06-22","28-06-23","Spain",27,"Male","Smartphone"
"Basic",14,"16-06-22","29-06-23","Italy",30,"Male","Tablet"
"Premium",14,"09-06-22","30-06-23","Spain",47,"Male","Smart TV"
"Basic",13,"10-06-22","30-06-23","Spain",51,"Male","Smartphone"
"Standard",15,"10-06-22","28-06-23","United States",31,"Female","Laptop"
"Premium",13,"11-06-22","29-06-23","Canada",34,"Female","Tablet"
"Basic",11,"12-06-22","30-06-23","United States",28,"Female","Laptop"
"Basic",15,"15-06-22","30-06-23","United States",32,"Male","Smartphone"
"Basic",11,"25-06-22","29-06-23","Canada",41,"Male","Smart TV"
"Standard",13,"30-06-22","28-06-23","United Kingdom",40,"Male","Smart TV"
"Premium",12,"06-07-22","30-06-23","Australia",46,"Male","Smart TV"
"Basic",13,"09-07-22","29-06-23","Germany",47,"Male","Smart TV"
"Basic",14,"18-07-22","29-06-23","France",45,"Female","Laptop"
"Premium",10,"24-07-22","28-06-23","Brazil",28,"Female","Smartphone"
"Standard",12,"27-07-22","30-06-23","Mexico",43,"Female","Smartphone"
"Standard",11,"10-08-22","29-06-23","Spain",41,"Male","Laptop"
"Basic",13,"16-08-22","30-06-23","Italy",32,"Male","Tablet"
"Premium",14,"23-08-22","29-06-23","Spain",44,"Female","Smartphone"
"Standard",11,"03-09-22","30-06-23","Spain",32,"Male","Laptop"
"Basic",12,"04-09-22","29-06-23","United States",47,"Male","Laptop"
"Standard",14,"05-09-22","29-06-23","Canada",37,"Male","Smart TV"
